Geneid	Brain	Duodenum	Hatchling_Brain	Hatchling_Carapace	Hatchling_Kidney	Kidney	Liver	Lung	merged	Sciatic_Nerve	Skeletal_Muscle	Spinal_Cord	Testis
G14981	0	0	0	0	0	0	0	0	0	0	0	0	0
G14982	168	0	622	0	0	13	0	4	841	0	0	32	2
G14983	0	0	0	0	0	0	0	0	0	0	0	0	0
G14984	0	0	0	0	0	0	0	0	0	0	0	0	0
G14985	10	7	4	4	0	11	9	7	78	0	12	6	8
G14986	4	2	7	11	1	2	1	7	55	0	4	11	5
G14987	14	17	5	14	2	23	24	5	174	2	47	18	3
G14988	0	0	0	0	0	0	0	1	1	0	0	0	0
G14989	32	0	71	15	1	9	0	18	191	0	4	18	23
G14990	2	0	1	1	3	5	3	3	22	0	2	1	1
G14991	0	0	0	0	0	0	0	0	2	0	0	2	0
G14992	0	0	6	7	0	14	1	3	41	0	5	3	2
G14993	0	0	1	0	2	11	0	0	15	0	0	0	1
G14994	40	14	45	8	6	28	15	27	248	2	9	39	15
G14995	0	0	0	0	0	0	0	0	1	0	0	0	1
G14996	0	1	0	0	0	1	0	1	3	0	0	0	0
G14997	52	27	29	43	15	60	33	68	466	1	47	30	61
G14998	1	0	3	0	0	0	4	1	11	0	0	2	0
G14999	0	0	1	0	0	0	1	0	3	0	0	1	0
